  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1878           0     0.16160  0.14624  0.35  100000   14624   90495  4490933  44.91
  1878           1     0.05541  0.05390  0.49   85376    4602   83052  4400439  51.54
  1878           2     0.04029  0.03951  0.51   80774    3191   79199  4317387  53.45
  1878           3     0.02967  0.02923  0.49   77583    2268   76426  4238188  54.63
  1878           4     0.02173  0.02149  0.49   75316    1619   74492  4161762  55.26
  1878           5     0.01536  0.01525  0.50   73697    1124   73134  4087270  55.46
  1878           6     0.01134  0.01128  0.52   72573     818   72179  4014136  55.31
  1878           7     0.01112  0.01106  0.50   71755     794   71358  3941957  54.94
  1878           8     0.00777  0.00773  0.46   70961     549   70663  3870599  54.55
  1878           9     0.00515  0.00514  0.48   70412     362   70225  3799936  53.97
  1878          10     0.00475  0.00474  0.51   70051     332   69889  3729711  53.24
  1878          11     0.00476  0.00475  0.51   69719     331   69556  3659822  52.49
  1878          12     0.00438  0.00437  0.51   69388     303   69239  3590266  51.74
  1878          13     0.00507  0.00506  0.52   69084     349   68916  3521028  50.97
  1878          14     0.00516  0.00514  0.49   68735     354   68553  3452112  50.22
  1878          15     0.00498  0.00497  0.50   68382     340   68211  3383559  49.48
  1878          16     0.00503  0.00502  0.49   68041     341   67868  3315348  48.73
  1878          17     0.00583  0.00582  0.53   67700     394   67513  3247481  47.97
  1878          18     0.00574  0.00573  0.50   67306     385   67115  3179967  47.25
  1878          19     0.00519  0.00518  0.50   66921     346   66747  3112852  46.52
  1878          20     0.00600  0.00599  0.52   66575     399   66382  3046105  45.75
  1878          21     0.00575  0.00573  0.51   66176     379   65991  2979723  45.03
  1878          22     0.00765  0.00762  0.49   65797     502   65543  2913731  44.28
  1878          23     0.00688  0.00685  0.49   65295     448   65067  2848188  43.62
  1878          24     0.00624  0.00622  0.51   64848     403   64650  2783121  42.92
  1878          25     0.00789  0.00786  0.51   64444     506   64195  2718471  42.18
  1878          26     0.00701  0.00698  0.49   63938     446   63710  2654276  41.51
  1878          27     0.00720  0.00717  0.50   63491     456   63264  2590566  40.80
  1878          28     0.00793  0.00790  0.50   63036     498   62789  2527303  40.09
  1878          29     0.00792  0.00789  0.52   62538     494   62299  2464513  39.41
  1878          30     0.00771  0.00768  0.49   62044     476   61801  2402214  38.72
  1878          31     0.00672  0.00670  0.50   61568     413   61363  2340414  38.01
  1878          32     0.00761  0.00758  0.51   61155     464   60926  2279050  37.27
  1878          33     0.00751  0.00748  0.50   60692     454   60466  2218124  36.55
  1878          34     0.00762  0.00759  0.51   60238     457   60015  2157658  35.82
  1878          35     0.00733  0.00730  0.49   59781     436   59558  2097642  35.09
  1878          36     0.00796  0.00793  0.49   59344     470   59105  2038084  34.34
  1878          37     0.00882  0.00878  0.51   58874     517   58621  1978979  33.61
  1878          38     0.00930  0.00926  0.50   58357     540   58089  1920359  32.91
  1878          39     0.01007  0.01002  0.51   57817     579   57535  1862269  32.21
  1878          40     0.01296  0.01287  0.46   57238     736   56842  1804734  31.53
  1878          41     0.00895  0.00891  0.51   56501     503   56255  1747892  30.94
  1878          42     0.00785  0.00782  0.50   55998     438   55780  1691637  30.21
  1878          43     0.00811  0.00808  0.50   55560     449   55334  1635857  29.44
  1878          44     0.00761  0.00758  0.47   55111     418   54890  1580522  28.68
  1878          45     0.00835  0.00832  0.53   54694     455   54478  1525632  27.89
  1878          46     0.00927  0.00923  0.51   54239     500   53992  1471155  27.12
  1878          47     0.00864  0.00861  0.51   53738     463   53511  1417163  26.37
  1878          48     0.00894  0.00890  0.53   53276     474   53052  1363652  25.60
  1878          49     0.00929  0.00925  0.52   52802     489   52566  1310600  24.82
  1878          50     0.01142  0.01136  0.49   52313     594   52008  1258034  24.05
  1878          51     0.01099  0.01093  0.50   51719     565   51436  1206026  23.32
  1878          52     0.01226  0.01219  0.51   51154     623   50850  1154590  22.57
  1878          53     0.01100  0.01094  0.52   50530     553   50266  1103739  21.84
  1878          54     0.01071  0.01066  0.50   49978     533   49709  1053473  21.08
  1878          55     0.01177  0.01170  0.50   49445     578   49153  1003765  20.30
  1878          56     0.01352  0.01343  0.49   48867     656   48529   954612  19.54
  1878          57     0.01355  0.01346  0.51   48210     649   47891   906083  18.79
  1878          58     0.01666  0.01652  0.49   47561     786   47164   858192  18.04
  1878          59     0.01677  0.01663  0.50   46776     778   46384   811027  17.34
  1878          60     0.01828  0.01811  0.51   45998     833   45593   764643  16.62
  1878          61     0.02033  0.02013  0.51   45165     909   44716   719051  15.92
  1878          62     0.02258  0.02232  0.49   44255     988   43754   674334  15.24
  1878          63     0.02303  0.02276  0.49   43268     985   42766   630580  14.57
  1878          64     0.02450  0.02420  0.49   42283    1023   41764   587815  13.90
  1878          65     0.02770  0.02734  0.52   41260    1128   40724   546051  13.23
