  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1878           0     0.18938  0.16806  0.33  100000   16806   88740  4012178  40.12
  1878           1     0.05936  0.05764  0.50   83194    4795   80781  3923438  47.16
  1878           2     0.04454  0.04357  0.50   78399    3416   76694  3842657  49.01
  1878           3     0.03200  0.03148  0.49   74983    2361   73778  3765962  50.22
  1878           4     0.02227  0.02202  0.49   72622    1599   71812  3692185  50.84
  1878           5     0.01582  0.01569  0.48   71022    1115   70439  3620373  50.98
  1878           6     0.01273  0.01265  0.50   69908     884   69468  3549934  50.78
  1878           7     0.01092  0.01086  0.49   69023     750   68644  3480466  50.42
  1878           8     0.00808  0.00804  0.47   68274     549   67980  3411822  49.97
  1878           9     0.00435  0.00434  0.50   67724     294   67577  3343842  49.37
  1878          10     0.00495  0.00494  0.52   67430     333   67270  3276265  48.59
  1878          11     0.00465  0.00464  0.50   67097     311   66941  3208995  47.83
  1878          12     0.00411  0.00411  0.51   66786     274   66652  3142055  47.05
  1878          13     0.00389  0.00388  0.51   66511     258   66385  3075402  46.24
  1878          14     0.00426  0.00426  0.50   66253     282   66112  3009018  45.42
  1878          15     0.00413  0.00412  0.50   65971     272   65836  2942906  44.61
  1878          16     0.00369  0.00368  0.51   65700     242   65581  2877069  43.79
  1878          17     0.00409  0.00408  0.51   65458     267   65325  2811488  42.95
  1878          18     0.00520  0.00519  0.51   65190     338   65023  2746163  42.13
  1878          19     0.00542  0.00541  0.51   64852     351   64678  2681140  41.34
  1878          20     0.00698  0.00695  0.51   64501     448   64281  2616462  40.56
  1878          21     0.00807  0.00803  0.50   64053     515   63796  2552181  39.85
  1878          22     0.00880  0.00876  0.48   63538     557   63249  2488386  39.16
  1878          23     0.00803  0.00800  0.50   62982     504   62731  2425136  38.51
  1878          24     0.00773  0.00769  0.48   62478     481   62228  2362405  37.81
  1878          25     0.00799  0.00796  0.49   61997     494   61745  2300177  37.10
  1878          26     0.00760  0.00757  0.49   61504     465   61268  2238432  36.40
  1878          27     0.00782  0.00779  0.49   61038     475   60796  2177164  35.67
  1878          28     0.00731  0.00728  0.49   60563     441   60339  2116368  34.95
  1878          29     0.00770  0.00767  0.49   60122     461   59887  2056028  34.20
  1878          30     0.00729  0.00726  0.50   59660     433   59446  1996141  33.46
  1878          31     0.00790  0.00787  0.49   59227     466   58990  1936695  32.70
  1878          32     0.00824  0.00820  0.50   58761     482   58517  1877705  31.96
  1878          33     0.00759  0.00757  0.49   58279     441   58056  1819188  31.22
  1878          34     0.00832  0.00829  0.50   57838     479   57596  1761132  30.45
  1878          35     0.00863  0.00859  0.48   57359     493   57103  1703535  29.70
  1878          36     0.00800  0.00797  0.49   56866     453   56636  1646432  28.95
  1878          37     0.00971  0.00966  0.51   56413     545   56144  1589796  28.18
  1878          38     0.01036  0.01031  0.51   55867     576   55584  1533652  27.45
  1878          39     0.02336  0.02314  0.59   55291    1279   54770  1478068  26.73
  1878          40     0.02990  0.02939  0.41   54012    1587   53082  1423298  26.35
  1878          41     0.01124  0.01118  0.51   52425     586   52138  1370215  26.14
  1878          42     0.01086  0.01080  0.49   51838     560   51555  1318077  25.43
  1878          43     0.01070  0.01064  0.51   51279     546   51010  1266522  24.70
  1878          44     0.00932  0.00927  0.49   50733     470   50494  1215512  23.96
  1878          45     0.01293  0.01285  0.52   50262     646   49951  1165019  23.18
  1878          46     0.01517  0.01505  0.49   49617     747   49239  1115068  22.47
  1878          47     0.01429  0.01419  0.51   48870     693   48529  1065829  21.81
  1878          48     0.01487  0.01477  0.50   48176     711   47823  1017299  21.12
  1878          49     0.01556  0.01544  0.52   47465     733   47112   969477  20.43
  1878          50     0.01855  0.01837  0.49   46732     859   46294   922365  19.74
  1878          51     0.01740  0.01725  0.51   45873     791   45487   876071  19.10
  1878          52     0.01936  0.01918  0.52   45082     865   44663   830584  18.42
  1878          53     0.02134  0.02112  0.52   44217     934   43767   785921  17.77
  1878          54     0.02209  0.02185  0.50   43284     946   42808   742155  17.15
  1878          55     0.02510  0.02478  0.49   42338    1049   41807   699346  16.52
  1878          56     0.02378  0.02351  0.51   41289     971   40816   657539  15.93
  1878          57     0.02567  0.02535  0.51   40318    1022   39814   616723  15.30
  1878          58     0.03230  0.03179  0.50   39296    1249   38671   576909  14.68
  1878          59     0.03158  0.03110  0.51   38047    1183   37469   538238  14.15
  1878          60     0.03696  0.03629  0.50   36864    1338   36195   500769  13.58
  1878          61     0.03841  0.03769  0.50   35526    1339   34858   464574  13.08
  1878          62     0.03973  0.03896  0.51   34187    1332   33528   429716  12.57
  1878          63     0.04246  0.04159  0.50   32855    1366   32178   396188  12.06
  1878          64     0.04216  0.04126  0.48   31489    1299   30820   364010  11.56
  1878          65     0.04711  0.04601  0.49   30190    1389   29485   333190  11.04
  1878          66     0.04954  0.04834  0.50   28801    1392   28102   303706  10.55
  1878          67     0.05162  0.05031  0.50   27408    1379   26715   275603  10.06
  1878          68     0.05617  0.05459  0.49   26029    1421   25300   248888   9.56
  1878          69     0.05880  0.05711  0.49   24608    1405   23898   223588   9.09
  1878          70     0.06845  0.06616  0.50   23203    1535   22429   199690   8.61
  1878          71     0.06930  0.06692  0.49   21668    1450   20925   177261   8.18
  1878          72     0.08565  0.08217  0.51   20218    1661   19396   156336   7.73
  1878          73     0.08036  0.07718  0.49   18557    1432   17823   136940   7.38
  1878          74     0.09827  0.09373  0.51   17124    1605   16333   119117   6.96
  1878          75     0.10593  0.10064  0.50   15519    1562   14745   102783   6.62
  1878          76     0.11110  0.10543  0.52   13957    1471   13244    88038   6.31
  1878          77     0.11827  0.11170  0.50   12486    1395   11793    74794   5.99
  1878          78     0.11729  0.11081  0.50   11091    1229   10479    63001   5.68
  1878          79     0.13762  0.12862  0.49    9862    1268    9217    52522   5.33
  1878          80     0.13566  0.12680  0.48    8594    1090    8032    43306   5.04
  1878          81     0.15054  0.14001  0.50    7504    1051    6979    35273   4.70
  1878          82     0.16334  0.15121  0.51    6453     976    5974    28294   4.38
  1878          83     0.19428  0.17755  0.52    5478     973    5006    22320   4.07
  1878          84     0.18735  0.17112  0.49    4505     771    4115    17314   3.84
  1878          85     0.21284  0.19251  0.50    3734     719    3377    13199   3.53
  1878          86     0.25770  0.22869  0.51    3015     690    2676     9822   3.26
  1878          87     0.24724  0.21958  0.49    2326     511    2065     7146   3.07
  1878          88     0.31513  0.27240  0.50    1815     494    1569     5081   2.80
  1878          89     0.36117  0.30542  0.49    1321     403    1117     3512   2.66
  1878          90     0.35049  0.29787  0.50     917     273     780     2395   2.61
  1878          91     0.37352  0.31818  0.53     644     205     549     1616   2.51
  1878          92     0.31805  0.27407  0.50     439     120     378     1067   2.43
  1878          93     0.42678  0.34694  0.46     319     111     259      688   2.16
  1878          94     0.50980  0.40625  0.50     208      85     166      429   2.06
  1878          95     0.42857  0.34211  0.41     124      42      99      263   2.13
  1878          96     0.53226  0.44000  0.61      81      36      67      165   2.03
  1878          97     0.35294  0.28571  0.33      46      13      37       98   2.14
  1878          98     0.37500  0.30000  0.33      33      10      26       61   1.87
  1878          99     0.60000  0.42857  0.33      23      10      16       35   1.52
  1878         100     0.75000  0.50000  0.33      13       7       9       18   1.42
  1878         101     0.60000  0.50000  0.67       7       3       5       10   1.50
  1878         102     0.00000  0.00000  0.50       3       0       3        4   1.33
  1878         103     3.00000  1.00000  0.33       3       3       1        1   0.33
  1878         104           .        .     .       0       0       0        0      .
  1878         105           .        .     .       0       0       0        0      .
  1878         106           .        .     .       0       0       0        0      .
  1878         107           .        .     .       0       0       0        0      .
  1878         108           .        .     .       0       0       0        0      .
  1878         109           .        .     .       0       0       0        0      .
  1878         110+          .        .     .       0       0       0        0      .
  1879           0     0.18645  0.16575  0.33  100000   16575   88895  3954682  39.55
  1879           1     0.07573  0.07287  0.48   83425    6079   80274  3865787  46.34
  1879           2     0.04574  0.04470  0.49   77346    3457   75583  3785513  48.94
  1879           3     0.03072  0.03024  0.49   73889    2235   72754  3709929  50.21
  1879           4     0.02168  0.02145  0.49   71654    1537   70876  3637176  50.76
  1879           5     0.01501  0.01490  0.51   70117    1045   69608  3566300  50.86
  1879           6     0.01361  0.01352  0.50   69072     934   68609  3496691  50.62
  1879           7     0.00854  0.00850  0.45   68138     579   67822  3428082  50.31
  1879           8     0.00614  0.00612  0.48   67559     413   67346  3360261  49.74
  1879           9     0.00457  0.00456  0.51   67146     306   66994  3292915  49.04
  1879          10     0.00580  0.00578  0.51   66839     386   66651  3225920  48.26
  1879          11     0.00491  0.00490  0.51   66453     326   66295  3159270  47.54
  1879          12     0.00467  0.00466  0.51   66127     308   65976  3092975  46.77
  1879          13     0.00417  0.00416  0.50   65819     274   65683  3026999  45.99
  1879          14     0.00447  0.00446  0.50   65545     292   65400  2961316  45.18
  1879          15     0.00378  0.00377  0.48   65253     246   65126  2895916  44.38
  1879          16     0.00433  0.00432  0.52   65007     281   64872  2830791  43.55
  1879          17     0.00434  0.00433  0.51   64726     281   64589  2765919  42.73
  1879          18     0.00560  0.00558  0.52   64445     360   64271  2701330  41.92
  1879          19     0.00602  0.00600  0.52   64085     385   63901  2637060  41.15
  1879          20     0.00764  0.00761  0.50   63701     485   63459  2573159  40.39
  1879          21     0.00762  0.00759  0.48   63216     480   62968  2509700  39.70
  1879          22     0.00842  0.00838  0.51   62736     526   62476  2446732  39.00
  1879          23     0.00832  0.00829  0.49   62210     515   61949  2384255  38.33
  1879          24     0.00732  0.00729  0.50   61695     450   61472  2322306  37.64
  1879          25     0.00799  0.00796  0.50   61245     487   61002  2260835  36.91
  1879          26     0.00781  0.00778  0.50   60758     473   60521  2199833  36.21
  1879          27     0.00808  0.00805  0.50   60285     485   60044  2139312  35.49
  1879          28     0.00787  0.00784  0.51   59800     469   59570  2079268  34.77
